iter	RMSE
0	352026.8409
1	335979.4311
2	320175.7746
3	305663.4233
4	292031.7152
5	279497.9102
6	268061.7308
7	256986.9317
8	246627.4029
9	236649.8372
10	228210.2493
11	219882.7817
12	212089.2491
13	204507.6869
14	197340.3314
15	190735.5279
16	184434.3412
17	178783.8583
18	173571.2847
19	168680.717
20	164201.5557
21	160177.2343
22	156661.605
23	153159.04
24	149846.9998
25	146705.0165
26	143608.7005
27	141011.1208
28	138379.2945
29	136146.8393
30	133656.3542
31	131737.6851
32	129905.9823
33	128129.2303
34	126635.9779
35	125286.4728
36	123937.9704
37	122639.9949
38	121489.6851
39	120494.2654
40	119301.5099
41	118364.9936
42	117273.2756
43	116508.2436
44	115580.1091
45	114919.7654
46	113989.1894
47	113387.0645
48	112884.8928
49	112319.3336
50	111853.0546
51	111066.2428
52	110646.9686
53	110212.0431
54	109840.492
55	109504.5265
56	109117.3604
57	108748.953
58	108150.3825
59	107855.7008
60	107549.3947
61	107056.3058
62	106714.5114
63	106506.0373
64	106257.1419
65	106004.1703
66	105752.4773
67	105457.4096
68	105267.0241
69	105039.918
70	104752.5821
71	104593.6085
72	104387.6999
73	104188.67
74	103733.2389
75	103270.2815
76	103064.3288
77	102843.1248
78	102625.9606
79	102455.3402
80	102320.4534
81	102149.6935
82	101988.7042
83	101750.6292
84	101491.8753
85	101106.8511
86	101016.3668
87	100625.9428
88	100452.3279
89	100205.3747
90	99993.11277
91	99850.86678
92	99690.33033
93	99366.14347
94	99163.37327
95	99042.4761
96	98930.84638
97	98827.33293
98	98627.44874
99	98497.08263
100	98311.35705
101	98204.99158
102	98036.18223
103	97965.44975
104	97891.90761
105	97805.82333
106	97738.76954
107	97675.76801
108	97458.50623
109	97280.95091
110	97133.34803
111	97083.0132
112	97004.46832
113	96916.74363
114	96835.44612
115	96772.59385
116	96690.3355
117	96614.28704
118	96472.33527
119	96357.34315
120	96246.52848
121	96190.0191
122	96063.01407
123	95889.83207
124	95818.69114
125	95750.83443
126	95637.49501
127	95504.48265
128	95375.41076
129	95282.6738
130	95233.64391
131	95082.1767
132	95012.59938
133	94942.48469
134	94754.59905
135	94674.68191
136	94618.48885
137	94559.75164
138	94377.86821
139	94257.67113
140	94148.11111
141	94103.64825
142	94013.30522
143	93869.28068
144	93763.26956
145	93688.10934
146	93624.13758
147	93569.49071
148	93449.79015
149	93300.18492
150	93205.56672
151	93072.55058
152	93015.66321
153	92974.80979
154	92903.07579
155	92839.46325
156	92760.08352
157	92697.81179
158	92607.81479
159	92523.28844
160	92420.12921
161	92322.13609
162	92272.78522
163	92219.08265
164	92162.36406
165	92093.72294
166	92003.20215
167	91943.35023
168	91902.02253
169	91767.62908
170	91693.66061
171	91607.46492
172	91542.12368
173	91431.37789
174	91385.69312
175	91345.98581
176	91301.60462
177	91208.4289
178	91161.47941
179	91118.06029
180	91044.91768
181	91014.81094
182	90954.10425
183	90885.44632
184	90843.28122
185	90791.30435
186	90746.95865
187	90679.77195
188	90600.58267
189	90579.00587
190	90541.87783
191	90471.67214
192	90443.54279
193	90408.09304
194	90319.27228
195	90254.90737
196	90228.45702
197	90167.42839
198	90137.52321
199	90126.29368
200	90055.04153
201	89987.70766
202	89965.99368
203	89917.65915
204	89904.75074
205	89873.64828
206	89839.98313
207	89790.76285
208	89741.90399
209	89670.15836
210	89638.45731
211	89579.8783
212	89489.7623
213	89458.94713
214	89435.36268
215	89386.3639
216	89384.30883
217	89282.08456
218	89210.13668
219	89188.99895
220	89117.1453
221	89065.35857
