iter	Passed	Remaining
0	131	131729
1	136	68282
2	140	46755
3	144	36041
4	149	29663
5	153	25398
6	157	22384
7	162	20108
8	166	18301
9	170	16867
10	174	15673
11	178	14693
12	182	13856
13	186	13122
14	190	12489
15	194	11945
16	197	11444
17	201	11012
18	206	10639
19	209	10288
20	213	9967
21	217	9681
22	222	9447
23	226	9207
24	230	8986
25	234	8784
26	238	8588
27	242	8412
28	246	8254
29	250	8108
30	255	7976
31	260	7874
32	264	7749
33	268	7624
34	272	7515
35	276	7410
36	281	7320
37	285	7222
38	289	7135
39	294	7056
40	297	6961
41	301	6871
42	305	6797
43	309	6723
44	313	6648
45	316	6572
46	320	6507
47	324	6440
48	328	6381
49	333	6335
50	337	6285
51	341	6224
52	345	6172
53	348	6113
54	353	6068
55	357	6022
56	360	5969
57	364	5922
58	368	5883
59	372	5836
60	376	5797
61	380	5752
62	384	5714
63	387	5674
64	391	5637
65	395	5600
66	399	5568
67	403	5532
68	407	5496
69	411	5460
70	415	5440
71	419	5407
72	423	5380
73	427	5350
74	431	5322
75	435	5292
76	439	5263
77	442	5235
78	446	5210
79	450	5184
80	454	5156
81	458	5132
82	462	5109
83	466	5083
84	470	5061
85	474	5041
86	477	5013
87	481	4991
88	485	4966
89	489	4951
90	493	4931
91	497	4912
92	501	4891
93	505	4872
94	509	4852
95	513	4832
96	517	4815
97	521	4802
98	525	4785
99	530	4775
100	534	4758
101	538	4738
102	542	4722
103	546	4706
104	550	4689
105	554	4672
106	557	4653
107	561	4636
108	565	4623
109	569	4606
110	573	4590
111	577	4576
112	581	4561
113	585	4547
114	589	4532
115	592	4517
116	596	4503
117	600	4487
118	604	4472
119	608	4458
120	612	4447
121	615	4432
122	619	4418
123	623	4406
124	627	4394
125	631	4382
126	635	4370
127	639	4359
128	643	4345
129	647	4330
130	651	4320
131	654	4307
132	659	4296
133	662	4283
134	666	4271
135	670	4259
136	674	4246
137	677	4233
138	681	4223
139	686	4215
140	690	4208
141	695	4199
142	698	4188
143	702	4177
144	707	4173
145	711	4163
146	716	4155
147	720	4148
148	725	4143
149	729	4135
150	733	4124
151	737	4116
152	742	4109
153	746	4100
154	750	4090
155	754	4082
156	758	4074
157	762	4063
158	767	4057
159	771	4049
160	775	4039
161	779	4030
162	783	4021
163	797	4063
164	800	4052
165	804	4040
