iter	Passed	Remaining
0	149	149317
1	153	76386
2	156	52001
3	159	39818
4	163	32589
5	167	27694
6	170	24187
7	173	21567
8	177	19535
9	180	17884
10	184	16551
11	187	15428
12	191	14536
13	195	13775
14	199	13106
15	203	12514
16	207	11992
17	211	11535
18	215	11115
19	218	10728
20	223	10400
21	226	10085
22	230	9793
23	235	9556
24	239	9330
25	243	9106
26	247	8912
27	251	8716
28	254	8516
29	257	8332
30	260	8157
31	264	8005
32	267	7851
33	271	7710
34	274	7577
35	278	7447
36	281	7325
37	284	7206
38	287	7091
39	291	6987
40	294	6886
41	298	6801
42	313	6968
43	316	6869
44	319	6782
45	322	6696
46	326	6617
47	329	6536
48	332	6458
49	336	6385
50	339	6315
51	343	6257
52	346	6197
53	350	6133
54	353	6075
55	356	6013
56	360	5960
57	363	5902
58	366	5850
59	370	5798
60	373	5748
61	376	5701
62	380	5656
63	383	5608
64	386	5565
65	390	5524
66	393	5480
67	396	5440
68	400	5398
69	403	5360
70	406	5322
71	410	5285
72	413	5248
73	416	5210
74	419	5177
75	423	5143
76	426	5111
77	429	5079
78	432	5047
79	436	5016
80	439	4985
81	442	4956
82	446	4928
83	449	4899
84	452	4872
85	456	4846
86	459	4821
87	462	4795
88	465	4769
89	469	4745
90	472	4721
91	475	4696
92	479	4678
93	482	4655
94	486	4632
95	489	4609
96	492	4588
97	496	4566
98	499	4546
99	502	4526
100	506	4506
101	509	4486
102	512	4467
103	516	4448
104	519	4427
105	522	4408
106	526	4390
107	529	4372
108	532	4355
109	536	4337
110	539	4322
111	542	4304
112	546	4287
113	549	4269
114	552	4252
115	555	4236
116	558	4218
117	562	4201
118	565	4187
119	569	4173
120	572	4157
121	575	4141
122	578	4127
123	582	4112
124	585	4097
125	588	4083
126	591	4068
127	595	4055
128	598	4042
129	602	4029
130	605	4015
131	608	4002
132	611	3989
133	615	3977
134	618	3964
135	622	3951
136	625	3939
137	628	3926
138	631	3913
139	635	3901
140	638	3888
141	641	3878
142	645	3866
143	648	3854
144	651	3843
145	655	3832
146	658	3822
147	662	3811
148	665	3800
149	668	3789
150	672	3778
151	675	3767
152	678	3758
153	682	3747
154	685	3736
155	689	3728
156	692	3720
157	696	3709
158	699	3700
159	702	3690
160	706	3680
161	709	3669
162	712	3659
163	715	3647
164	718	3638
165	722	3629
166	725	3619
167	728	3609
168	732	3600
169	736	3593
170	739	3584
171	742	3575
172	746	3567
173	749	3558
174	752	3548
175	755	3538
176	759	3530
177	762	3521
178	765	3512
179	768	3503
180	772	3494
181	775	3486
182	779	3478
